Airline,Source,Destination,Departure_Date,Return_Date,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,Retrieved_On
United,Honolulu,Majuro,03/08/2026,10/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,05/08/2026,10/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,06/08/2026,10/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,08/08/2026,10/08/2026,07:15,10:35,5h 20m,non-stop,3031,29/07/2026
United,Honolulu,Majuro,03/08/2026,12/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,05/08/2026,12/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,06/08/2026,12/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,08/08/2026,12/08/2026,07:15,10:35,5h 20m,non-stop,2766,29/07/2026
United,Honolulu,Majuro,03/08/2026,13/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,05/08/2026,13/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,06/08/2026,13/08/2026,07:15,10:35,5h 20m,non-stop,2716,29/07/2026
United,Honolulu,Majuro,03/08/2026,15/08/2026,07:15,10:35,5h 20m,non-stop,2766,29/07/2026
United,Honolulu,Majuro,05/08/2026,15/08/2026,07:15,10:35,5h 20m,non-stop,2766,29/07/2026
United,Honolulu,Majuro,06/08/2026,15/08/2026,07:15,10:35,5h 20m,non-stop,2766,29/07/2026
United,Honolulu,Majuro,08/08/2026,15/08/2026,07:15,10:35,5h 20m,non-stop,2816,29/07/2026
United,Honolulu,Majuro,02/11/2026,09/11/2026,07:00,10:15,5h 15m,non-stop,1493,29/07/2026
United,Honolulu,Majuro,04/11/2026,09/11/2026,07:00,10:15,5h 15m,non-stop,1767,29/07/2026
United,Honolulu,Majuro,05/11/2026,09/11/2026,07:00,10:15,5h 15m,non-stop,1767,29/07/2026
United,Honolulu,Majuro,06/11/2026,09/11/2026,07:00,10:15,5h 15m,non-stop,2861,29/07/2026
United,Honolulu,Majuro,07/11/2026,09/11/2026,07:00,10:15,5h 15m,non-stop,2695,29/07/2026
United,Honolulu,Majuro,02/11/2026,11/11/2026,07:00,10:15,5h 15m,non-stop,1493,29/07/2026
United,Honolulu,Majuro,04/11/2026,11/11/2026,07:00,10:15,5h 15m,non-stop,1481,29/07/2026
United,Honolulu,Majuro,05/11/2026,11/11/2026,07:00,10:15,5h 15m,non-stop,1767,29/07/2026
United,Honolulu,Majuro,06/11/2026,11/11/2026,07:00,10:15,5h 15m,non-stop,2652,29/07/2026
United,Honolulu,Majuro,07/11/2026,11/11/2026,07:00,10:15,5h 15m,non-stop,1817,29/07/2026
United,Honolulu,Majuro,09/11/2026,11/11/2026,07:00,10:15,5h 15m,non-stop,2981,29/07/2026
United,Honolulu,Majuro,02/11/2026,12/11/2026,07:00,10:15,5h 15m,non-stop,1493,29/07/2026
United,Honolulu,Majuro,04/11/2026,12/11/2026,07:00,10:15,5h 15m,non-stop,1481,29/07/2026
United,Honolulu,Majuro,05/11/2026,12/11/2026,07:00,10:15,5h 15m,non-stop,1481,29/07/2026
United,Honolulu,Majuro,06/11/2026,12/11/2026,07:00,10:15,5h 15m,non-stop,2652,29/07/2026
United,Honolulu,Majuro,07/11/2026,12/11/2026,07:00,10:15,5h 15m,non-stop,1817,29/07/2026
United,Honolulu,Majuro,09/11/2026,12/11/2026,07:00,10:15,5h 15m,non-stop,1767,29/07/2026
United,Honolulu,Majuro,02/11/2026,14/11/2026,07:00,10:15,5h 15m,non-stop,1543,29/07/2026
United,Honolulu,Majuro,04/11/2026,14/11/2026,07:00,10:15,5h 15m,non-stop,1531,29/07/2026
United,Honolulu,Majuro,05/11/2026,14/11/2026,07:00,10:15,5h 15m,non-stop,1531,29/07/2026
United,Honolulu,Majuro,06/11/2026,14/11/2026,07:00,10:15,5h 15m,non-stop,2624,29/07/2026
United,Honolulu,Majuro,07/11/2026,14/11/2026,07:00,10:15,5h 15m,non-stop,1581,29/07/2026
United,Honolulu,Majuro,09/11/2026,14/11/2026,07:00,10:15,5h 15m,non-stop,1817,29/07/2026
